"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"70","Akira Schmid","VGK","1","33.416666666667","12","12","0","1.000","0.00","1.18","1.51","3","3","0","1.000","0.00","0.57","2","2","0","1.000","0.00","0.25","6","6","0","1.000","0.00","0.25","0","1","34.58","-"
"78","Erik Portillo","L.A","1","58.616666666667","29","28","1","0.966","1.02","1.86","3.27","9","8","1","0.889","1.02","0.70","6","6","0","1.000","0.00","0.74","12","12","0","1.000","0.00","0.50","3","5","33.76","9.00"
"79","Nico Daws","N.J","5","204.68333333333","88","85","3","0.966","0.88","5.68","9.9","24","22","2","0.917","0.59","2.54","20","19","1","0.950","0.29","1.48","41","41","0","1.000","0.00","1.70","8","23","33.22","19.67"
"26","Marcus Hogberg","NYI","7","332.01666666667","151","143","8","0.947","1.45","6.90","16.33","37","32","5","0.865","0.90","2.01","32","31","1","0.969","0.18","2.96","72","70","2","0.972","0.36","0.98","9","37","39.66","20.50"
"24","Connor Hellebuyck","WPG","46","2771.7333333333","1262","1170","92","0.927","1.99","32.51","127.15","293","253","40","0.863","0.87","15.48","304","273","31","0.898","0.67","6.64","590","569","21","0.964","0.45","3.40","77","258","38.68","22.58"
"14","Louis Domingue","NYR","1","60","27","25","2","0.926","2.00","0.66","2.06","6","5","1","0.833","1.00","0.14","4","3","1","0.750","1.00","-0.50","16","16","0","1.000","0.00","0.66","0","4","36.59","20.50"
"23","Anthony Stolarz","TOR","22","1284.1833333333","635","588","47","0.926","2.20","15.65","66.62","156","130","26","0.833","1.21","3.54","168","153","15","0.911","0.70","5.80","273","267","6","0.978","0.28","5.29","55","136","37.68","18.74"
"84","Leevi Merilainen","OTT","12","662.98333333333","295","273","22","0.925","1.99","7.10","26.11","62","50","12","0.806","1.09","-0.26","66","61","5","0.924","0.45","3.17","141","136","5","0.965","0.45","0.83","29","54","40.77","21.95"
"91","Jaxson Stauber","UTA","4","242.41666666667","120","111","9","0.925","2.23","2.84","11.4","27","24","3","0.889","0.74","2.11","24","19","5","0.792","1.24","-2.03","65","64","1","0.985","0.25","1.69","5","20","36.56","20.78"
"20","Andrei Vasilevskiy","T.B","48","2837.05","1335","1232","103","0.923","2.18","28.71","125.7","317","271","46","0.855","0.97","14.02","359","318","41","0.886","0.87","3.45","587","571","16","0.973","0.34","8.28","105","223","36.28","21.53"
"63","Logan Thompson","WSH","35","2096.0333333333","985","904","81","0.918","2.32","16.18","110.19","266","222","44","0.835","1.26","6.36","253","234","19","0.925","0.54","12.33","421","403","18","0.957","0.52","-0.59","78","217","34.33","20.01"
"41","Mackenzie Blackwood","COL, S.J","44","2504.9833333333","1229","1125","104","0.915","2.49","17.25","123.81","309","260","49","0.841","1.17","9.51","322","282","40","0.876","0.96","-0.13","539","524","15","0.972","0.36","7.29","91","242","35.77","21.23"
"55","Filip Gustavsson","MIN","40","2348.0333333333","1190","1088","102","0.914","2.61","15.40","106.23","274","229","45","0.836","1.15","6.88","314","274","40","0.873","1.02","-1.12","548","531","17","0.969","0.43","5.67","82","182","36.56","19.89"
"49","Joey Daccord","SEA","41","2365.8666666667","1167","1066","101","0.913","2.56","14.13","120.25","285","233","52","0.818","1.32","1.96","285","256","29","0.898","0.74","6.29","525","505","20","0.962","0.51","1.71","61","271","37.27","20.85"
"51","Casey DeSmith","DAL","18","996.98333333333","471","430","41","0.913","2.47","5.47","47.78","111","90","21","0.811","1.26","0.02","118","107","11","0.907","0.66","3.61","209","200","9","0.957","0.54","-0.36","34","89","37.86","22.27"
"77","Dustin Wolf","CGY","36","2164.8333333333","1073","980","93","0.913","2.58","12.86","105.03","278","235","43","0.845","1.19","9.64","292","259","33","0.887","0.91","3.15","444","427","17","0.962","0.47","1.36","94","195","35.23","21.17"
"5","Jacob Markstrom","N.J","37","2187.8666666667","910","830","80","0.912","2.19","9.78","90.77","212","178","34","0.840","0.93","6.14","252","224","28","0.889","0.77","3.20","388","370","18","0.954","0.49","-1.95","94","165","39.06","24.53"
"29","Eric Comrie","WPG","15","890.75","430","392","38","0.912","2.56","4.42","38.82","96","78","18","0.813","1.21","0.18","116","104","12","0.897","0.81","2.36","201","193","8","0.960","0.54","0.31","32","72","35.83","22.47"
"72","Spencer Knight","CHI, FLA","24","1358.3333333333","602","549","53","0.912","2.34","6.39","62","169","141","28","0.834","1.24","4.00","144","127","17","0.882","0.75","0.83","257","249","8","0.969","0.35","2.63","24","116","36.31","20.36"
"25","Linus Ullmark","OTT","29","1614.3","819","746","73","0.911","2.71","7.80","78.62","219","183","36","0.836","1.34","5.47","215","191","24","0.888","0.89","2.62","343","330","13","0.962","0.48","1.19","75","159","34.70","21.08"
"58","Jake Oettinger","DAL","44","2584.8333333333","1175","1070","105","0.911","2.44","10.92","120.04","288","228","60","0.792","1.39","-5.47","286","254","32","0.888","0.74","3.41","520","507","13","0.975","0.30","8.51","86","221","38.57","18.64"
"8","Darcy Kuemper","L.A","33","1965.0833333333","868","790","78","0.910","2.38","7.63","87.09","237","196","41","0.827","1.25","3.87","236","214","22","0.907","0.67","7.22","357","342","15","0.958","0.46","-0.23","86","168","34.20","21.77"
"47","Karel Vejmelka","UTA","38","2225.2333333333","1010","919","91","0.910","2.45","8.64","105.03","255","206","49","0.808","1.32","-0.72","248","219","29","0.883","0.78","1.71","450","437","13","0.971","0.35","5.61","52","187","36.39","18.59"
