"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"13","Akira Schmid","VGK","1","33.416666666667","12","12","0","1.000","0.00","1.20","1.51","3","3","0","1.000","0.00","0.57","2","2","0","1.000","0.00","0.25","6","6","0","1.000","0.00","0.25","0","1","34.58","-"
"20","Nico Daws","N.J","5","204.68333333333","88","85","3","0.966","0.88","5.77","9.9","24","22","2","0.917","0.59","2.54","20","19","1","0.950","0.29","1.46","41","41","0","1.000","0.00","1.70","8","23","33.22","19.67"
"1","Marcus Hogberg","NYI","7","332.01666666667","151","143","8","0.947","1.45","7.05","16.33","37","32","5","0.865","0.90","2.00","32","31","1","0.969","0.18","2.94","72","70","2","0.972","0.36","0.99","9","37","39.66","20.50"
"23","Leevi Merilainen","OTT","12","662.98333333333","295","273","22","0.925","1.99","7.40","26.11","62","50","12","0.806","1.09","-0.27","66","61","5","0.924","0.45","3.13","141","136","5","0.965","0.45","0.86","29","54","40.77","21.95"
"28","Jaxson Stauber","UTA","4","242.41666666667","120","111","9","0.925","2.23","2.96","11.4","27","24","3","0.889","0.74","2.11","24","19","5","0.792","1.24","-2.04","65","64","1","0.985","0.25","1.70","5","20","36.56","20.78"
"8","Logan Thompson","WSH","35","2096.0333333333","985","904","81","0.918","2.32","17.16","110.19","266","222","44","0.835","1.26","6.33","253","234","19","0.925","0.54","12.17","421","403","18","0.957","0.52","-0.50","78","217","34.33","20.01"
"19","Dustin Wolf","CGY","36","2164.8333333333","1073","980","93","0.913","2.58","13.93","105.03","278","235","43","0.845","1.19","9.60","292","259","33","0.887","0.91","2.98","444","427","17","0.962","0.47","1.45","94","195","35.23","21.17"
"10","Lukas Dostal","ANA","36","2067.9833333333","1111","1011","100","0.910","2.90","10.72","118.55","305","249","56","0.816","1.62","1.71","285","254","31","0.891","0.90","4.12","474","461","13","0.973","0.38","6.70","82","201","34.44","19.42"
"3","Joseph Woll","TOR","32","1886.3666666667","918","833","85","0.907","2.70","6.48","91.71","235","190","45","0.809","1.43","-0.54","224","204","20","0.911","0.64","7.60","414","394","20","0.952","0.64","-2.79","79","186","35.57","20.29"
"26","Arvid Soderblom","CHI","29","1668.5333333333","895","811","84","0.906","3.02","5.19","88.76","247","199","48","0.806","1.73","-1.27","223","203","20","0.910","0.72","7.48","380","364","16","0.958","0.58","-0.21","63","155","34.87","20.52"
"27","Jet Greaves","CBJ","5","301.63333333333","159","144","15","0.906","2.98","0.85","15.68","47","40","7","0.851","1.39","1.89","49","45","4","0.918","0.80","2.04","60","56","4","0.933","0.80","-1.51","13","37","32.23","23.33"
"17","Pyotr Kochetkov","CAR","37","2196.7666666667","926","835","91","0.902","2.49","1.28","99.85","297","254","43","0.855","1.17","13.19","240","211","29","0.879","0.79","0.57","337","318","19","0.944","0.52","-4.99","68","195","33.51","20.33"
"11","Joel Hofer","STL","23","1248.2666666667","603","542","61","0.899","2.93","-0.91","50.9","120","92","28","0.767","1.35","-5.30","168","144","24","0.857","1.15","-3.30","280","271","9","0.968","0.43","2.64","55","94","37.18","19.98"
"4","Stuart Skinner","EDM","40","2321.0333333333","1083","973","110","0.898","2.84","-2.07","109.23","263","211","52","0.802","1.34","-2.24","328","286","42","0.872","1.09","-1.59","438","422","16","0.963","0.41","2.20","76","200","35.31","21.07"
"21","Yaroslav Askarov","S.J","13","716.8","357","320","37","0.896","3.10","-1.42","39.23","102","84","18","0.824","1.51","1.30","103","90","13","0.874","1.09","-0.31","133","128","5","0.962","0.42","0.53","33","75","33.95","20.16"
"2","Dan Vladar","CGY","24","1447.9833333333","677","605","72","0.894","2.98","-4.53","64.12","162","122","40","0.753","1.66","-9.35","172","152","20","0.884","0.83","1.19","311","299","12","0.961","0.50","0.93","53","120","35.79","19.89"
"5","Ukko-Pekka Luukkonen","BUF","43","2448.7833333333","1163","1040","123","0.894","3.01","-7.10","117.82","302","240","62","0.795","1.52","-4.86","329","287","42","0.872","1.03","-1.46","479","460","19","0.960","0.47","0.91","111","244","35.53","20.32"
"14","Samuel Ersson","PHI","34","1890.45","836","747","89","0.894","2.82","-5.69","81.61","196","159","37","0.811","1.17","0.08","239","206","33","0.862","1.05","-3.55","340","321","19","0.944","0.60","-4.87","71","162","37.55","22.03"
"12","Justus Annunen","COL, NSH","24","1234.3","588","522","66","0.888","3.21","-7.40","53.64","135","114","21","0.844","1.02","4.54","161","128","33","0.795","1.60","-13.16","256","244","12","0.953","0.58","-1.36","51","93","36.90","24.18"
"7","Daniil Tarasov","CBJ","15","905.01666666667","452","398","54","0.881","3.58","-8.96","47.17","130","100","30","0.769","1.99","-5.40","109","93","16","0.853","1.06","-2.57","199","191","8","0.960","0.53","0.27","33","97","33.94","19.70"
"15","Trent Miner","COL","2","91.633333333333","33","29","4","0.879","2.62","-0.71","2.33","6","4","2","0.667","1.31","-0.86","9","7","2","0.778","1.31","-0.89","15","15","0","1.000","0.00","0.62","3","5","47.15","22.75"
"9","Jakub Skarek","NYI","2","76.15","39","34","5","0.872","3.94","-1.11","3.5","10","6","4","0.600","3.15","-2.11","11","11","0","1.000","0.00","1.36","18","17","1","0.944","0.79","-0.25","1","10","31.67","15.80"
"22","Devon Levi","BUF","9","480.63333333333","258","225","33","0.872","4.12","-7.29","24.68","63","46","17","0.730","2.12","-5.08","76","64","12","0.842","1.50","-2.64","102","98","4","0.961","0.50","0.24","23","48","36.97","20.48"
"18","Arturs Silovs","VAN","9","482.51666666667","219","188","31","0.858","3.85","-9.18","20.47","59","44","15","0.746","1.87","-3.84","48","36","12","0.750","1.49","-6.09","103","99","4","0.961","0.50","0.28","13","36","34.46","19.45"
"24","Sebastian Cossa","DET","1","45","14","12","2","0.857","2.67","-0.60","1.55","5","3","2","0.600","2.67","-1.05","3","3","0","1.000","0.00","0.37","5","5","0","1.000","0.00","0.21","1","3","38.86","8.50"
"25","Jesper Wallstedt","MIN","2","117.43333333333","51","43","8","0.843","4.09","-2.92","4.61","11","8","3","0.727","1.53","-0.92","14","10","4","0.714","2.04","-2.27","25","24","1","0.960","0.51","0.04","3","12","33.25","24.38"
"6","Cayden Primeau","MTL","11","523.7","250","209","41","0.836","4.70","-16.09","30.31","77","60","17","0.779","1.95","-2.43","82","67","15","0.817","1.72","-4.90","80","71","9","0.888","1.03","-5.67","27","47","32.71","21.46"
"16","Mads Sogaard","OTT","2","91.55","40","32","8","0.800","5.24","-4.01","5.32","14","11","3","0.786","1.97","-0.35","9","5","4","0.556","2.62","-2.89","15","14","1","0.933","0.66","-0.38","4","10","34.10","21.63"
