"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"41","Kirill Marchenko","CBJ","R","57","1071.6166666667","24","36","23","13","60","64.52","155","15.48","17.56","323","226","147","48","9","35","14","7","7","0","0","13","65","29","43","67","29","11","24","31.43"
"145","Wyatt Johnston","DAL","C","60","1147.8833333333","21","34","23","11","55","67.90","163","12.88","27.08","311","239","225","116","4","35","12","6","6","0","0","10","36","25","32","72","30","337","343","49.56"
"93","Marco Rossi","MIN","C","61","1117.2333333333","21","30","17","13","51","69.86","102","20.59","15.52","198","155","136","76","3","26","24","12","12","0","0","16","42","14","42","49","28","349","388","47.35"
"115","JJ Peterka","BUF","R","57","1029.95","17","30","14","16","47","55.29","129","13.18","14.74","294","207","131","43","12","20","24","8","7","0","1","11","58","14","27","57","7","2","4","33.33"
"163","Logan Cooley","UTA","C","54","957.03333333333","17","30","15","15","47","67.14","115","14.78","12.16","219","164","106","40","3","14","30","15","15","0","0","13","48","20","40","94","24","241","298","44.71"
"92","Dylan Holloway","STL","L","62","1031.9833333333","20","26","13","13","46","71.88","145","13.79","14.81","276","197","139","57","10","24","10","5","5","0","0","8","59","32","133","75","39","59","80","42.45"
"132","William Eklund","S.J","L","57","1115.2","12","32","21","11","44","62.86","101","11.88","15.91","233","174","129","59","7","19","22","7","6","0","1","14","63","13","37","61","36","9","20","31.03"
"130","Kent Johnson","CBJ","C","46","799.5","20","22","11","11","42","67.74","89","22.47","9.16","171","122","77","27","5","12","10","5","5","0","0","2","44","16","1","31","18","0","4","0.00"
"142","Matthew Knies","TOR","L","57","1051.1333333333","24","17","11","6","41","57.75","100","24.00","16.65","178","147","134","92","8","14","26","13","13","0","0","14","35","9","130","63","31","0","1","0.00"
"101","Jake Sanderson","OTT","D","59","1447.35","6","34","16","18","40","57.14","139","4.32","6.11","307","193","82","5","13","17","10","5","5","0","0","7","71","44","33","143","129","0","0","-"
