"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"245","Nathan MacKinnon","COL","C","61","1398.25","23","68","43","25","91","78.45","247","9.31","22.58","453","330","232","61","10","42","31","10","8","1","1","20","91","21","30","53","47","570","578","49.65"
"275","Leon Draisaitl","EDM","C","60","1296.1166666667","44","46","27","19","90","82.57","201","21.89","26.39","347","283","177","73","16","33","28","14","14","0","0","23","74","30","18","67","22","563","472","54.40"
"141","Nikita Kucherov","T.B","R","57","1239.3833333333","27","60","41","19","87","79.82","194","13.92","18.25","400","278","172","57","10","29","39","14","12","1","1","18","92","19","21","42","23","1","1","50.00"
"369","Mitch Marner","TOR","R","60","1297.9833333333","18","58","36","22","76","76.77","134","13.43","16.69","307","206","158","51","12","28","12","6","6","0","0","14","85","43","38","34","28","6","13","31.58"
"291","David Pastrnak","BOS","R","62","1258.4333333333","32","43","30","13","75","87.21","257","12.45","23.98","490","349","198","63","17","41","30","14","14","0","0","26","89","33","42","63","14","3","4","42.86"
"332","Connor McDavid","EDM","C","54","1196","22","53","36","17","75","78.95","165","13.33","22.21","302","229","186","80","7","43","19","8","7","1","0","19","60","22","33","48","13","298","324","47.91"
"328","Kyle Connor","WPG","L","61","1241.2166666667","31","43","26","17","74","73.27","202","15.35","21.62","364","265","193","63","11","32","23","10","9","1","0","12","62","26","15","36","35","1","7","12.50"
"333","Jack Eichel","VGK","C","59","1240.5833333333","19","53","22","31","72","67.92","182","10.44","18.31","326","241","167","66","10","29","6","3","3","0","0","11","67","23","19","47","42","446","512","46.56"
"340","Mikko Rantanen","CAR, COL","R","60","1321.3833333333","27","43","30","13","70","67.96","170","15.88","27.07","355","267","201","78","6","30","36","18","18","0","0","17","57","29","36","66","34","126","110","53.39"
"630","Jack Hughes","N.J","C","62","1295.85","27","43","29","14","70","68.63","229","11.79","23.34","465","321","232","74","16","47","18","8","8","0","0","16","87","22","6","40","29","251","416","37.63"
"414","Clayton Keller","UTA","R","60","1152.7666666667","22","47","22","25","69","82.14","165","13.33","18.83","343","254","159","76","9","33","16","8","8","0","0","20","60","19","10","62","20","9","20","31.03"
