Voter,Rank,Award ,Player
Claire,1,Vezina,Connor Hellebuyck
Claire,2,Vezina,Andrei Vasilevskiy
Claire,3,Vezina,Mackenzie Blackwood
Claire,4,Vezina,Logan Thompson
Claire,5,Vezina,Filip Gustavsson
Claire,1,Heart,Jackson Black
Claire,2,Heart,Matthew Tkachuk
Claire,3,Heart,Shayne Godtisbehertr
Claire,4,Heart,Leon Draisaitl
Claire,5,Heart,Josh Doan
Claire,1,Frank J. Selke,Nazem Kadri
Claire,2,Frank J. Selke,Sam Bennett
Claire,3,Frank J. Selke,Nico Hischier
Claire,4,Frank J. Selke,Tom Wilson 
Claire,5,Frank J. Selke,Brady Tkachuk
Claire,1,James Norris,Aaron Ekblad
Claire,2,James Norris,Niko Mikkola
Claire,3,James Norris,Brayden Pachal
Claire,4,James Norris,Emil Lilleberg
Claire,5,James Norris,Ian Cole
Claire,1,Calder,Jake Sanders
Claire,2,Calder,Wyatt Johnson
Claire,3,Calder,Kirill Marchenko
Claire,4,Calder,Brock Faber
Claire,5,Calder,Owen Power
Claire,1,Lady Btng,Colton Parayko
Claire,2,Lady Btng,Jake Sanders
Claire,3,Lady Btng,Alex Vlasic
Claire,4,Lady Btng,Cale Maker
Claire,5,Lady Btng,Erik Karlsson
