Award,Place,Player
Vezina,1,Connor Hellebuyck
Vezina,2,Andrei Vasilevskiy
Vezina,3,Logan Thompson
Vezina,4,Jacob Markstrom
Vezina,5,Linus Ullmark
James Norris,1,Shayne Gotisbehere
James Norris,2,Evan Bouchard
James Norris,3,Sean Walker
James Norris,4,Quinn Hughes
James Norris,5,Nate Schmidt
Lady Bing,1,Brayed Point
Lady Bing,2,William Karlsson
Lady Bing,3,Cole Schwindt
Lady Bing,4,Anze Kopitar
Lady Bing,5,Jimmy Vesey
Frank J. Selke,1,Jordan Martinook
Frank J. Selke,2,Fabian Zetterlund
Frank J. Selke,3,Nino Niederreiter
Frank J. Selke,4,Connor McMichael
Frank J. Selke,5,Timo Meier
Hart,1,Leon Draisaitl
Hart,2,Nathan MacKinnon
Hart,3,Nikita Kucherov
Hart,4,David Pastrnak
Hart,5,Kyle Connor
Calder,1,Kirill Machenko
Calder,2,Wyatt Johnston
Calder,3,Marco Rossi
Calder,4,Logan Thompson
Calder,5,Dylan Holloway
